alma,apex,spt,lmt,smt,jcmt,sma,12-meter,aste,iram
0,2,7041,5469,7176,9448,9448,7683,7,9478
2,0,7043,5467,7174,9447,9447,7681,7,9477
7041,7043,0,10363,11166,10416,10416,13551,7448,14120
5469,5467,10363,0,1964,5854,5854,2029,5662,9078
7176,7174,11166,1964,0,4627,4627,182,7634,9139
9448,9447,10416,5854,4627,0,0,4553,10630,13036
9448,9447,10416,5854,4627,0,0,4553,10630,13036
7683,7681,13551,2029,182,4553,4553,0,7682,9317
7,7,7448,5662,7634,10630,10630,7682,0,9470
9478,9477,14120,9078,9139,13036,13036,9317,9470,0
