,range,true_reward,best_path,model1_punish_0,model1_punish_0.04,model1_punish_0.06,model1_punish_0.08,model1_punish_0.1,model1_punish_0.2,model2_punish_0,model2_punish_1,model2_punish_5,model2_punish_10,model3_punish_0,model3_punish_1,model3_punish_5,model3_punish_10,model4_punish_0,model3_punish_0.1,model3_punish_0.5,model3_punish_3,model1_punish_0.01,model1_punish_0.02,model1_punish_0.03,model1_punish_0.05,model3_punish_0.8,model3_punish_1.2,model2_punish_0.2,model2_punish_0.4,model2_punish_0.6,model2_punish_0.8,model2_punish_2
0,"('2019-10-26', '2019-11-04')","[-0.11431088, -0.11949208, -0.11292156, -0.08553943, -0.14454342, -0.22783533, -0.24986002, -0.23977759, -0.30464709, -0.18711996]",['2019-10-29' '2019-10-28' '2019-10-26' '2019-10-27' '2019-10-30'],"['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-26', '2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30']","['2019-10-26', '2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30']","['2019-10-26', '2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-26', '2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30']","['2019-10-26', '2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-04']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-02']","['2019-10-26', '2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-04']"
1,"('2019-10-27', '2019-11-05')","[-0.11949208, -0.11292156, -0.08553943, -0.14454342, -0.22783533, -0.24986002, -0.23977759, -0.30464709, -0.18711996, -0.10174178]",['2019-10-29' '2019-11-05' '2019-10-28' '2019-10-27' '2019-10-30'],"['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-04']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-02']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']","['2019-10-27', '2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05']"
2,"('2019-10-28', '2019-11-06')","[-0.11292156, -0.08553943, -0.14454342, -0.22783533, -0.24986002, -0.23977759, -0.30464709, -0.18711996, -0.10174178, -0.11019546]",['2019-10-29' '2019-11-05' '2019-11-06' '2019-10-28' '2019-10-30'],"['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-05']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-05']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-01']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-10-31', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-11-04', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']","['2019-10-28', '2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06']"
3,"('2019-10-29', '2019-11-07')","[-0.08553943, -0.14454342, -0.22783533, -0.24986002, -0.23977759, -0.30464709, -0.18711996, -0.10174178, -0.11019546, -0.10679684]",['2019-10-29' '2019-11-05' '2019-11-07' '2019-11-06' '2019-10-30'],"['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-10-31', '2019-11-05', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-10-31', '2019-11-05', '2019-11-06']","['2019-10-29', '2019-10-30', '2019-10-31', '2019-11-01', '2019-11-02']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-10-31', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-10-31', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']","['2019-10-29', '2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07']"
4,"('2019-10-30', '2019-11-08')","[-0.14454342, -0.22783533, -0.24986002, -0.23977759, -0.30464709, -0.18711996, -0.10174178, -0.11019546, -0.10679684, -0.0689196]",['2019-11-08' '2019-11-05' '2019-11-07' '2019-11-06' '2019-10-30'],"['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-10-31', '2019-11-01', '2019-11-05', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-10-31', '2019-11-02', '2019-11-05', '2019-11-08']","['2019-10-30', '2019-10-31', '2019-11-01', '2019-11-02', '2019-11-04']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-10-31', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-10-31', '2019-11-02', '2019-11-06', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-30', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']"
5,"('2019-10-31', '2019-11-09')","[-0.22783533, -0.24986002, -0.23977759, -0.30464709, -0.18711996, -0.10174178, -0.11019546, -0.10679684, -0.0689196, -0.11110701]",['2019-11-08' '2019-11-05' '2019-11-07' '2019-11-06' '2019-11-09'],"['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-10-31', '2019-11-01', '2019-11-05', '2019-11-07', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-10-31', '2019-11-01', '2019-11-02', '2019-11-05', '2019-11-08']","['2019-10-31', '2019-11-01', '2019-11-02', '2019-11-04', '2019-11-05']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-10-31', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-10-31', '2019-11-02', '2019-11-06', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']"
6,"('2019-11-01', '2019-11-10')","[-0.24986002, -0.23977759, -0.30464709, -0.18711996, -0.10174178, -0.11019546, -0.10679684, -0.0689196, -0.11110701, -0.14222539]",['2019-11-08' '2019-11-05' '2019-11-07' '2019-11-06' '2019-11-09'],"['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-01', '2019-11-02', '2019-11-05', '2019-11-07', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-01', '2019-11-02', '2019-11-05', '2019-11-06', '2019-11-08']","['2019-11-01', '2019-11-02', '2019-11-03', '2019-11-04', '2019-11-05']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-02', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']"
7,"('2019-11-02', '2019-11-11')","[-0.23977759, -0.30464709, -0.18711996, -0.10174178, -0.11019546, -0.10679684, -0.0689196, -0.11110701, -0.14222539, -0.20707455]",['2019-11-08' '2019-11-05' '2019-11-07' '2019-11-06' '2019-11-09'],"['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-02', '2019-11-04', '2019-11-05', '2019-11-07', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-02', '2019-11-04', '2019-11-05', '2019-11-06', '2019-11-08']","['2019-11-02', '2019-11-03', '2019-11-04', '2019-11-05', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-02', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']"
8,"('2019-11-03', '2019-11-12')","[-0.30464709, -0.18711996, -0.10174178, -0.11019546, -0.10679684, -0.0689196, -0.11110701, -0.14222539, -0.20707455, -0.22597524]",['2019-11-08' '2019-11-05' '2019-11-07' '2019-11-06' '2019-11-09'],"['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-03', '2019-11-04', '2019-11-05', '2019-11-06', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10', '2019-11-12']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']"
9,"('2019-11-04', '2019-11-13')","[-0.18711996, -0.10174178, -0.11019546, -0.10679684, -0.0689196, -0.11110701, -0.14222539, -0.20707455, -0.22597524, -0.11958275]",['2019-11-08' '2019-11-05' '2019-11-07' '2019-11-06' '2019-11-09'],"['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-04', '2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10', '2019-11-13']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-08', '2019-11-09', '2019-11-10']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']","['2019-11-05', '2019-11-06', '2019-11-07', '2019-11-08', '2019-11-09']"
