,range,best_score,random_score,model1_punish_0,model1_punish_0.04,model1_punish_0.06,model1_punish_0.08,model1_punish_0.1,model1_punish_0.2,model2_punish_0,model2_punish_1,model2_punish_5,model2_punish_10,model3_punish_0,model3_punish_1,model3_punish_5,model4_punish_0,model3_punish_0.1,model3_punish_0.5,model3_punish_3,model1_punish_0.01,model1_punish_0.02,model1_punish_0.03,model1_punish_0.05,model3_punish_0.8,model3_punish_1.2,model2_punish_0.2,model2_punish_0.4,model2_punish_0.6,model2_punish_0.8,model2_punish_2
0,"('2019-10-26', '2019-11-04')",-0.11536147249900527,-0.1786047354887949,-0.12992328886519125,-0.12992328886519125,-0.12992328886519125,-0.11536147249900527,-0.11536147249900527,-0.11536147249900527,-0.12992328886519125,-0.12992328886519125,-0.11536147249900527,-0.11536147249900527,-0.12992329,-0.12992329,-0.15159194,-0.12992328886519125,-0.12992329,-0.12992329,-0.15159194,-0.12992329,-0.12992329,-0.12992329,-0.12992329,-0.12992329,-0.12992329,-0.12992329,-0.12992329,-0.12992329,-0.12992329,-0.12992329
1,"('2019-10-27', '2019-11-05')",-0.11284765221367045,-0.1773478253461275,-0.12136296144336693,-0.11284765221367045,-0.11284765221367045,-0.11284765221367045,-0.11284765221367045,-0.13806636105038309,-0.12136296144336693,-0.11284765221367045,-0.13806636105038309,-0.13806636105038309,-0.12136296199999999,-0.112847654,-0.15159194,-0.12136296144336693,-0.12136296199999999,-0.112847654,-0.134516304,-0.12136296199999999,-0.12136296199999999,-0.112847654,-0.112847654,-0.112847654,-0.112847654,-0.121362962,-0.121362962,-0.112847654,-0.112847654,-0.112847654
2,"('2019-10-28', '2019-11-06')",-0.11098832796733178,-0.17641816322295814,-0.11098832796733178,-0.11098832796733178,-0.11098832796733178,-0.11098832796733178,-0.11098832796733178,-0.1345163016462367,-0.11098832796733178,-0.11098832796733178,-0.1345163016462367,-0.16413994962207787,-0.11098833,-0.11098833,-0.13620704,-0.11098832796733178,-0.11098833,-0.11098833,-0.11098833,-0.11098833,-0.11098833,-0.11098833,-0.11098833,-0.11098833,-0.11098833,-0.11098833000000001,-0.11098833000000001,-0.11098833000000001,-0.11098833000000001,-0.11098833000000001
3,"('2019-10-29', '2019-11-07')",-0.1097633842332855,-0.175805691355935,-0.1097633842332855,-0.1097633842332855,-0.1097633842332855,-0.1097633842332855,-0.1097633842332855,-0.13329135791219046,-0.1097633842332855,-0.1097633842332855,-0.1339710817144441,-0.1895111565941911,-0.109763386,-0.109763386,-0.134982096,-0.1097633842332855,-0.109763386,-0.109763386,-0.109763386,-0.109763386,-0.109763386,-0.109763386,-0.109763386,-0.109763386,-0.109763386,-0.10976338599999999,-0.10976338599999999,-0.10976338599999999,-0.10976338599999999,-0.10976338599999999
4,"('2019-10-30', '2019-11-08')",-0.10643941933545334,-0.1741437089070189,-0.10643941933545334,-0.10643941933545334,-0.10643941933545334,-0.10643941933545334,-0.10643941933545334,-0.1585800296346454,-0.10643941933545334,-0.10643941933545334,-0.15656354372051778,-0.2098272637763112,-0.10643942,-0.10643942,-0.13165812999999998,-0.10643941933545334,-0.10643942,-0.10643942,-0.10643942,-0.10643942,-0.10643942,-0.10643942,-0.10643942,-0.10643942,-0.10643942,-0.10643941999999999,-0.10643941999999999,-0.10643941999999999,-0.10643941999999999,-0.10643941999999999
5,"('2019-10-31', '2019-11-09')",-0.09975213686885234,-0.17080006767371844,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.1510307135683751,-0.09975213686885234,-0.09975213686885234,-0.1776268642745346,-0.20126693635448686,-0.099752138,-0.099752138,-0.12497084800000001,-0.09975213686885234,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138
6,"('2019-11-01', '2019-11-10')",-0.09975213686885234,-0.16223907407784116,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.153419166793376,-0.09975213686885234,-0.09975213686885234,-0.15409889059562967,-0.21662928964187192,-0.099752138,-0.099752138,-0.123913484,-0.09975213686885234,-0.099752138,-0.099752138,-0.10683784800000001,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138
7,"('2019-11-02', '2019-11-11')",-0.09975213686885234,-0.15796052686748158,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.14087115546905565,-0.09975213686885234,-0.09975213686885234,-0.1415508792713093,-0.18044120623759927,-0.099752138,-0.099752138,-0.10683784800000001,-0.09975213686885234,-0.099752138,-0.099752138,-0.10683784800000001,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138
8,"('2019-11-03', '2019-11-12')",-0.09975213686885234,-0.1565802914395366,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.15452477933369346,-0.099752138,-0.099752138,-0.10683784800000001,-0.09975213686885234,-0.099752138,-0.099752138,-0.10683784800000001,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138
9,"('2019-11-04', '2019-11-13')",-0.09975213686885234,-0.13807385741022302,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.099752138,-0.099752138,-0.10683784800000001,-0.09975213686885234,-0.099752138,-0.099752138,-0.10683784800000001,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138
